Timestamp,What is your gender?,Age,Height,Country Living in,Marital Status,Educational Qualification,Occupation,Verified Annual Income,Religion,Mother Tongue,Food Preference,Smoking Habit,Drinking Habit,Having Pets,Having Kids,Music Taste,Movie Taste,Family Background,Social Media Activity,Owning a personal car,Owning a House
14/08/2020 06:34:25,Male,4,4,2,4,4,3,3,1,1,4,2,2,0,4,3,3,3,4,1,1
14/08/2020 07:04:22,Male,2,3,2,4,3,3,3,3,2,3,4,3,3,4,3,3,2,3,3,3
14/08/2020 08:38:00,Female,3,3,0,4,3,4,5,1,0,1,0,1,3,3,0,0,5,0,3,4
14/08/2020 11:29:31,Male,3,1,0,2,0,1,2,1,0,2,0,0,4,3,2,2,0,2,0,1
14/08/2020 11:30:00,Female,3,4,5,5,4,4,4,3,5,2,2,3,5,3,3,3,5,3,0,3
14/08/2020 11:41:18,Female,5,4,5,5,4,5,4,5,3,2,2,3,4,5,1,2,5,2,4,4
14/08/2020 11:43:32,Male,3,3,1,4,4,1,1,1,1,2,3,3,0,0,2,2,1,0,0,0
14/08/2020 11:45:51,Female,2,2,4,5,5,4,2,0,5,3,5,5,0,5,4,3,4,1,2,3
14/08/2020 11:50:29,Female,0,0,5,3,5,3,3,0,0,0,5,5,0,0,5,5,0,3,0,0
14/08/2020 11:56:43,Female,0,3,5,5,5,5,3,0,0,4,5,5,5,5,4,5,4,4,0,0
14/08/2020 11:57:50,Male,4,3,5,5,3,3,4,5,4,4,3,5,0,5,2,2,3,2,3,4
14/08/2020 12:01:21,Female,3,4,4,5,4,5,5,5,5,4,5,4,0,4,0,3,5,1,0,2
14/08/2020 12:11:21,Female,5,3,5,5,5,5,5,5,5,5,0,3,3,0,5,5,5,5,3,5
14/08/2020 12:15:23,Male,5,3,5,5,3,4,4,5,5,4,5,5,5,5,4,4,4,2,2,1
14/08/2020 12:23:07,Male,3,4,3,5,3,2,2,0,3,3,5,5,5,2,5,5,3,4,2,2
14/08/2020 12:25:36,Male,5,5,2,5,5,5,1,5,5,5,5,5,0,5,0,0,5,5,0,0
14/08/2020 12:35:04,Female,2,4,1,5,4,5,4,5,1,1,2,2,1,5,1,1,4,1,2,1
14/08/2020 12:43:56,Male,0,0,0,0,4,3,2,0,0,3,1,1,0,1,5,2,3,0,0,4
14/08/2020 12:44:43,Female,4,5,4,5,5,5,5,4,3,3,0,2,1,0,2,3,5,1,5,5
14/08/2020 13:47:03,Male,5,4,5,5,3,3,1,3,3,1,5,0,3,5,1,1,5,0,0,0
14/08/2020 14:11:01,Male,5,1,0,5,3,0,0,0,0,4,3,3,0,0,2,2,1,2,0,0
14/08/2020 15:58:22,Male,4,3,4,4,4,4,4,5,1,5,5,5,5,4,5,5,2,5,1,1
14/08/2020 16:40:12,Male,4,3,2,3,2,2,2,0,3,2,1,0,0,0,2,2,2,1,0,0
14/08/2020 16:40:21,Male,3,3,3,5,4,4,4,3,0,3,1,1,2,4,4,4,1,3,0,0
14/08/2020 17:48:50,Male,0,0,3,0,4,3,1,0,0,1,5,5,5,3,5,5,4,5,0,0
14/08/2020 19:25:21,Male,4,4,5,3,4,4,4,2,3,3,4,4,2,4,3,3,3,2,1,1
14/08/2020 19:56:04,Female,3,4,3,4,4,4,4,3,3,3,2,3,3,3,3,3,4,3,3,4
14/08/2020 20:15:05,Male,3,4,5,5,5,5,5,5,4,5,5,5,1,5,2,3,5,3,2,1
14/08/2020 23:52:23,Male,4,4,5,3,3,3,2,3,3,5,4,5,4,2,4,4,3,3,3,3
